manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1001/jama.2013.3231	doi:10.1001/jama.2013.3231	doi:10.1001/jama.2013.3231	khJQfjDf
doi:10.1007/s00248-013-0344-7	doi:10.1007/s00248-013-0344-7	doi:10.1007/s00248-013-0344-7	IkpDSlIL
doi:10.1016/j.cell.2014.08.032	doi:10.1016/j.cell.2014.08.032	doi:10.1016/j.cell.2014.08.032	rwhLEYRY
doi:10.1016/j.envint.2019.05.036	doi:10.1016/j.envint.2019.05.036	doi:10.1016/j.envint.2019.05.036	YRviGlC7
doi:10.1016/j.mib.2007.08.009	doi:10.1016/j.mib.2007.08.009	doi:10.1016/j.mib.2007.08.009	QSe5BqFk
doi:10.1016/j.micinf.2005.12.028	doi:10.1016/j.micinf.2005.12.028	doi:10.1016/j.micinf.2005.12.028	1G6diFMw9
doi:10.1016/j.plasmid.2015.01.001	doi:10.1016/j.plasmid.2015.01.001	doi:10.1016/j.plasmid.2015.01.001	17U91060Y
doi:10.1016/j.tim.2006.02.006	doi:10.1016/j.tim.2006.02.006	doi:10.1016/j.tim.2006.02.006	1BcFmOfCH
doi:10.1038/nature02340	doi:10.1038/nature02340	doi:10.1038/nature02340	F7RexqdF
doi:10.1038/nature10388	doi:10.1038/nature10388	doi:10.1038/nature10388	2xaXclNM
doi:10.1038/nature14486	doi:10.1038/nature14486	doi:10.1038/nature14486	4rsFboY4
doi:10.1038/nbt.3935	doi:10.1038/nbt.3935	doi:10.1038/nbt.3935	7RV1Ygsv
doi:10.1038/nmeth.1923	doi:10.1038/nmeth.1923	doi:10.1038/nmeth.1923	PiS0h6Mu
doi:10.1038/nmeth.3176	doi:10.1038/nmeth.3176	doi:10.1038/nmeth.3176	4R96QRcV
doi:10.1038/nmeth.4458	doi:10.1038/nmeth.4458	doi:10.1038/nmeth.4458	lsbnKJf8
doi:10.1038/nrg3962	doi:10.1038/nrg3962	doi:10.1038/nrg3962	1Af4oXwEX
doi:10.1038/nrmicro2350	doi:10.1038/nrmicro2350	doi:10.1038/nrmicro2350	DET3tBYj
doi:10.1038/s41467-020-17278-2	doi:10.1038/s41467-020-17278-2	doi:10.1038/s41467-020-17278-2	4A1l9TZE
doi:10.1038/s41559-016-0010	doi:10.1038/s41559-016-0010	doi:10.1038/s41559-016-0010	qtpTcNWp
doi:10.1038/s41564-017-0012-7	doi:10.1038/s41564-017-0012-7	doi:10.1038/s41564-017-0012-7	wrBRBdFb
doi:10.1038/s41564-018-0171-1	doi:10.1038/s41564-018-0171-1	doi:10.1038/s41564-018-0171-1	DfIRBmdF
doi:10.1038/s41564-019-0449-y	doi:10.1038/s41564-019-0449-y	doi:10.1038/s41564-019-0449-y	d5Hh0941
doi:10.1038/s41586-018-0338-1	doi:10.1038/s41586-018-0338-1	doi:10.1038/s41586-018-0338-1	buqrbdBh
doi:10.1038/s41598-017-07790-9	doi:10.1038/s41598-017-07790-9	doi:10.1038/s41598-017-07790-9	mUmGRb3J
doi:10.1038/s41598-017-12481-6	doi:10.1038/s41598-017-12481-6	doi:10.1038/s41598-017-12481-6	69R3Dd1j
doi:10.1073/pnas.202488399	doi:10.1073/pnas.202488399	doi:10.1073/pnas.202488399	8PLOeAH6
